,anime_id,title,synopsis,genres,score,synopsis_word_count
255,40356,Tate no Yuusha no Nariagari Season 2,Second season of .,Action|Adventure|Drama|Fantasy,,4
258,46654,IDOLiSH7 3rd Season Part 2,Second cour of the third season of .,Music,,8
260,50469,Showtime!: Uta no Oneesan datte Shitai 2nd Season,Second season of .,Erotica,,4
262,42962,Uzaki-chan wa Asobitai! 2nd Season,Second season of,Comedy|Romance|Slice of Life|Ecchi,,3
267,35112,Panpaka Pants O New-san,Sequel to .,Comedy|Kids,,3
268,33842,Fushigi no Yappo Shima: Pukipuki to Poi,A stop-motion animation with felt characters on a small island floating in the sea.,Kids,,14
273,34669,Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao 2nd Season,Second Season of One episode aired every night.,Comedy|Shoujo,,8
276,30892,Boo Boo Boy,A young boy has adventures with his transforming car.,Cars|Kids,,9
277,37943,Cocomong 2,The second season of .,Kids,,5
280,40092,Xiao Hua Xian 3rd Season: Shou Hu Tian Shi,Third season of .,Kids,,4
284,30989,Bary-san no Imabari-ben Kouza,Stars Ehime Prefecture's mascot Barysan.,Comedy,,5
286,33792,Feng Shu Zhan Jing 2,Second season of .,Adventure|Mecha|Kids,,4
288,48904,Digital Tokoro-san,CGI shorts about famous Japanese comedian George Tokoro.,Comedy,,8
290,50738,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita 2nd Season",Second season of .,Comedy|Fantasy|Slice of Life,,4
294,18941,Shimajirou no Wow!,Fourth season of the Shimajirou children's television series.,Adventure|Comedy|Fantasy|Kids,,8
295,41470,Micchiri Wanko! Animation,Spin-off of .,Comedy|Kids,,3
299,50052,Neko Jockey 2nd Season,Second season of .,Comedy|Kids,,4
301,50172,Mob Psycho 100 III,Third season of .,Action|Comedy|Slice of Life|Supernatural,,4
302,50193,Motto! Majime ni Fumajime Kaiketsu Zorori 3rd Season,Third season of .,Adventure|Comedy|Kids,,4
303,43778,Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season,Sequel to,Adventure|Comedy|Kids,,2
304,35963,PJ Berri no Mogumogu Munyamunya Season 2,The second season of . Its broadcast will be in the same timeslot as the re-airing of the original 2001 anime on Fuji TV.,Comedy,,24
306,33540,Shima Kousaku no Asia Shinseki-den,A spinoff of Shima Kousaku no Asia Risshi-den,Drama|Cars|Seinen,,8
313,28887,Setsuzoku Muyou,"Short stories with no excitement, no punchline, and no connection.",Comedy,,10
314,49233,Youjo Senki II,Second season of .,Action|Military,,4
323,38071,Kkoma Bus Tayo 2,The second season of .,Cars|Kids,,5
326,19981,Shisukon Ouji,Based on a manga by Fujiko (A) Fujio and Fujiko (F) Fujio.,Adventure,,12
328,11497,Sore Ike! Zukkoke Sannin-gumi,"Based on Nasu Masamoto's Zukkoke Sannin-gumi juvenile novels series.  The main characters are 6 grade boys, Hachibei, Hakase, and Mo-chan. This anime shows their adventures.",Comedy|School|Kids,,25
331,36611,Bary-san no Shokoku Manyuuki,Ehime Prefecture's mascot Bary-san travels to different Japanese prefectures. The short skits are meant to feature something local.,Comedy,,18
332,34852,Pikaia!!,Second season of .,Drama|Slice of Life|Kids,,4
334,51215,Seijo no Maryoku wa Bannou Desu 2nd Season,Second season of .,Fantasy|Romance|Slice of Life,,4
340,32417,Chibinacs,TEAM NACS (also known as Team Canucks) are a surreal comedy troupe from Hokkaido who star in this short series.,Comedy,,20
345,24969,Sumiko (TV),Short stories based on the original characters by Uruma Delvi.,Comedy|Slice of Life|Kids,,10
346,33002,Panpaka Pants W-O-New!,Sequel to . It follows a young underwear-wearing pig and his adventures.,Comedy|Kids,,12
350,33290,Gra-P & Rodeo II,2nd Season of .,Comedy|Music,,4
352,48895,Overlord IV,Fourth season of .,Action|Fantasy|Supernatural|Game,,4
358,38612,Power Battle Watch Car Season 2,The second season of .,Cars|Kids,,5
361,35107,Shin Ninja Tamamaru,The second season of .,Martial Arts|Kids,,5
371,32418,Chibinacs 2.0,The second season of Chibinacs with a brand new protagonist.,Comedy,,10
373,31893,The Legend of Huainanzi 2nd Season,Second season of The Legend of Huainanzi.,Adventure|Fantasy|Historical,,7
381,7639,Shounen Santa no Daibouken!,Based on L. Frank Baum' novel: The Life and Adventures of Santa Claus.,Adventure|Fantasy|Shounen,,13
382,32419,Chibinacs 3,The 3rd and final season of Chibinacs.,Comedy,,7
383,18939,Shimajirou Hesoka,Third season of the Shimajirou children's television series.,Adventure|Comedy|Fantasy|Kids,,8
385,32402,Mim Mam Mint,"Two girls, based on the real-life models Mim and Mam, received a strange creature that is 70% rabbit and 30% bear.",Comedy,,21
386,38571,Tobidase! Dokan-kun,"The fifth season of the franchise. It aired within the ""Dejisuta Teens"" variety program.",Comedy|Mecha,,14
389,8832,Shounen Ashibe 2,Sequel to,Comedy|Slice of Life,,2
392,34831,Hanitarou Desu.,Shown daily during the Super J Channel news programme.,Comedy|Slice of Life,,9
397,49819,Cardfight!! Vanguard: Will+Dress,Third season of .,Comedy|Game,,4
398,34207,Dochamon Junior 2,The second season of .,Comedy|Kids,,5
399,43470,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,Second season of,Comedy|Romance,,3
401,10459,Puu-Neko,"Based on a four-panel manga, Puu-Neko is about ""jobless (puu)"" cats and Momoyama Momoko, who can talk with them. According to the author, 98% of cats are jobless.",Comedy,,28
402,49291,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) Final Season - Asaki Yume no Akatsuki,Final season of .,Drama|Suspense|Psychological,,4
405,48491,Yama no Susume: Next Summit,New anime.,Adventure|Comedy|Slice of Life,,2
407,41589,Tokyo Mew Mew New ♡,New anime.,Comedy|Fantasy|Romance|Sci-Fi|Shoujo,,2
409,50602,Spy x Family Part 2,The second cour of .,Action|Comedy|Shounen,,5
415,35335,Musashino!,Sequel series to .,Comedy|Slice of Life|School,,4
416,13463,Panda no Taputapu,"A short anime featuring the zodiac animals with a panda named Taputapu as the main character. Each episode is focuses on having a proverb, moral, or uplifting value.",Kids,,28
418,42429,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Third season of .,Fantasy|Slice of Life,,4
421,42090,Taeko no Nichijou 2nd Season,Sequel of .,Slice of Life,,3
422,49387,Vinland Saga Season 2,Second season of .,Action|Adventure|Drama|Historical|Seinen,,4
423,48549,Dr. Stone 3rd Season,"Third season of , airing in 2023.",Adventure|Comedy|Sci-Fi|Shounen,,7
424,41951,Mukashi Keibanashi 2nd Season,Second season of .,Comedy|Fantasy|Sports|Parody,,4
430,22755,Chikasugi Idol Akae-chan,"Based on the upcoming ""Underground Princess"" idol role playing game for mobile devices.",Comedy|Game|Parody,,13
435,38166,Malta no Bouken Season 3,The third season of . It focuses more on an adventure that Malta and her friends go on.,Adventure|Kids,,18
437,48417,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou 2nd Season",Second season of .,Fantasy|School,,4
439,49664,Kimi to Fit Boxing,is a short Japanese anime television series adaptation of the Nintendo Switch game named Fitness Boxing.,Sports,,16
441,50552,Yowamushi Pedal: Limit Break,Fifth season of the series.,Comedy|Drama|Sports|Shounen,,5
444,42482,Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,Third season of .,Parody,,4
445,50142,Konu to Tanoshii Otomodachi,Part of TV Tokyo's Kinder TV program.,Slice of Life|Kids,,7
448,35106,Ninja Tamamaru,A simple short anime series about a ninja named Tamamaru who is diligent and enthusiastic about his ninja training...but always fails at it.,Martial Arts|Kids,,23
451,49782,Shadows House 2nd Season,Second season of .,Slice of Life|Supernatural|Seinen,,4
452,50528,Golden Kamuy 4th Season,Fourth season of .,Action|Adventure|Historical|Seinen,,4
455,50438,Yatogame-chan Kansatsu Nikki 4th Season,Fourth season of .,Comedy|Slice of Life|School|Shounen,,4
457,30470,Himitsukessha Taka no Tsume DO,Sequel to the previous season of the flash anime series.,Comedy|Parody|Super Power,,10
458,36530,Porong Porong Pororo 6,"The sixth season of Pororo, many episodes take place in the Summer Islands.",Kids,,13
460,32842,Panpaka Pants,A series of shorts about pigs who wear underpants.,Comedy|Kids,,9
467,31177,Yakyuubu Aruaru,Series of shorts that describe what often happens in a typical amateur baseball club.,Sports,,14
480,50608,Tokyo Revengers: Seiya Kessen-hen,Second season of .,Action|Drama|Supernatural|School|Shounen,,4
492,20243,Gatapishi,Based on the comedy yonkoma manga by Sonoyama Shunji.,Comedy|Slice of Life,,9
495,50160,Kingdom 4th Season,Fourth season of .,Action|Historical|Military|Seinen,,4
500,22669,Gohan Kaijuu Pap,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",Action|Comedy|Kids,,19
503,30893,Deban Desu Yo! Onigirizu,A short series created to commemorate the 25th anniversary of the NECO broadcast channel. It focuses on the backstage chatter and concerts of a band called Onigirizu.,Comedy,,27
513,49889,Tsuki ga Michibiku Isekai Douchuu 2nd Season,Second Season of .,Action|Adventure|Comedy|Fantasy,,4
514,47160,Goblin Slayer 2nd Season,Second season of .,Action|Adventure|Fantasy,,4
519,42963,"Kanojo, Okarishimasu 2nd Season",Second season of .,Comedy|Romance|School|Shounen,,4
520,49709,Fumetsu no Anata e 2nd Season,Second season of .,Adventure|Drama|Supernatural|Shounen,,4
531,39003,Kyou mo Tsuno ga Aru,An everyday life of yellow frog with horn.Based on the web manga of the same title.,Comedy,,16
533,51179,Mushoku Tensei: Isekai Ittara Honki Dasu 2nd Season,Second season of .,Drama|Fantasy|Ecchi,,4
534,9533,Pururun! Shizuku-chan Aha,Second season of Pururun! Shizuku-chan.,Comedy|Kids,,5
539,41160,Leonardo Hakase to Kirin-mura no Nakama desho,"The second season of , the title had changed from ""Nakama-tachi"" to ""Nakama desho.""",Comedy|Kids,,14
543,38569,Tatakae! Dokan-kun: Gekitou-kun,"The third season of the franchise.It aired within the ""Fight Tension☆TV"" variety program.",Comedy|Mecha,,13
546,37369,Neko Neko Nihonshi 3rd Season,Third season of .,Historical|Parody|Samurai|Kids,,4
550,48916,Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,Second season of .,Slice of Life|Music|School,,4
552,38570,Tatakae! Dokan-kun: Robolympic-hen,"The fourth season of the franchise.It aired within the ""Fight Tension☆TV"" variety program.",Comedy|Mecha,,13
558,51132,Akachan Honbuchou 2nd Season,The second season of .,Comedy|Work Life|Seinen,,5
560,42179,Lalalacoco II,Second season of Lalalacoco.,Comedy|Slice of Life|Kids,,4
569,50638,Muv-Luv Alternative 2nd Season,Second season of .,Action|Drama|Sci-Fi|Mecha|Military,,4
571,51155,Cap Kakumei Bottleman DX,Second season of .,Action|Game|Kids,,4
584,50306,Seirei Gensouki 2nd Season,Second season of .,Action|Adventure|Drama|Fantasy|Romance|Harem,,4
586,51096,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV) 2nd Season,Sequel to .,Drama|Psychological|School,,3
588,50495,Garugaku. II: Lucky Stars,"Sequel of , featuring Lucky2 as the cast.",Music|School,,8
592,50348,Peter Grill to Kenja no Jikan 2nd Season,Second season of .,Comedy|Fantasy|Ecchi|Harem,,4
595,37978,Kamisama Minarai: Himitsu no Cocotama - Minarai Cocotama-dou,Short episodes that introduce the Cocotama's from TV series.,Fantasy|Slice of Life|Kids,,9
603,41461,Date A Live IV,Fourth season of .,Comedy|Romance|Sci-Fi|Harem|Mecha|School,,4
605,50099,Shin Tennis no Ouji-sama: U-17 World Cup,Sequel to .,Action|Comedy|Sports|Shounen,,3
613,29399,Ousama Monogatari,Stop-motion animation made out of fabric following a curious king sneaking out of his castle.,Adventure|Kids,,15
615,35699,Mono-darake!,Everyday objects come to life.,Kids,,5
618,50287,Kyuuketsuki Sugu Shinu 2nd Season,Second season of .,Comedy|Supernatural|Vampire|Shounen,,4
624,18937,Hakken Taiken Daisuki! Shimajirou,Second season of the Shimajirou children's television series.,Adventure|Comedy|Fantasy|Kids,,8
625,35962,Papan Ga Panda!,"A series of shorts broadcasted on Kids Station. The star a Panda (with other animals present) as they do quick skits usually revolving around singing, dancing, and exercise.",Music|Kids,,28
626,36003,Kimoshiba 2,The second season of .,Comedy|Horror|Supernatural|Kids,,5
627,37944,Hello Cocomong 2,The second season of .,Music|Kids,,5
630,50685,Kaginado Season 2,Second season of .,Comedy|Slice of Life,,4
634,49918,Boku no Hero Academia 6th Season,Sixth season of .,Action|Comedy|School|Super Power|Shounen,,4
635,51019,Kimetsu no Yaiba: Katanakaji no Sato-hen,Swordsmith Village Arc of .,Action|Supernatural|Demons|Historical|Shounen,,5
644,33310,Peach Command Shin Momotarou Densetsu,A continuation of .,Adventure|Comedy,,4
648,6981,Super Zugan,A story about mahjong.,Comedy|Game|Shounen,,4
659,50002,Edens Zero 2nd Season,Second season of .,Adventure|Comedy|Fantasy|Sci-Fi,,4
683,38631,Kkoma Bus Tayo 5,The fifth season of .,Cars|Kids,,5
696,39572,Wangu Xian Qiong III: Eren Gu Pian,Third season of .,Adventure|Comedy|Fantasy,6.84,4
740,2741,Monkey Turn V,Sequel to .,Action|Drama|Sports|Shounen,6.97,3
742,44273,Mewkledreamy Mix!,Second season of .,Adventure|Fantasy|Kids|Shoujo,7.88,4
744,8409,Marie & Gali ver. 2.0,The second season of Marie & Gali.,Comedy,5.98,7
747,2826,Oz no Mahoutsukai (1986),"Based on The Wonderful Wizard of Oz (1900), The Marvelous Land of Oz, Ozma of Oz, and The Emerald City of Oz (1900-1920) by L. Frank Baum (1856-1919).",Adventure|Fantasy|Kids,6.71,28
751,4060,Grimm Meisaku Gekijou,"The series consists of mostly stand-alone episodes which retell different fairy or folk tales.Despite the title, they are not all based on fairy tales collected by the Grimm Brothers.",Adventure|Comedy|Fantasy|Kids,7.44,29
759,23901,Lovely Movie: Itoshi no Muco Season 2,Second season of the Lovely Muco series.,Slice of Life,6.34,7
774,35303,Furusato Meguri: Nippon no Mukashibanashi,Sequel series to .,Supernatural|Historical|Kids,6.29,4
785,2929,Moonlight Mile 2nd Season: Touch Down,The second season of Moonlight Mile.,Adventure|Drama|Sci-Fi|Space,7.36,6
792,4061,Shin Grimm Meisaku Gekijou,Every episode is a stand-alone retelling of a different fairy or folk tale.Not all of them are based on the fairy tales collected by the Brothers Grimm.,Adventure|Comedy|Fantasy|Kids,7.44,27
804,5274,Magical★Taruruuto-kun,"Magical Taruruto-kun is a magical boy, fighting, and comedy TV show based on the manga of the same name by Tatsuya Egawa which ran in Weekly Shounen Jump.",Adventure|Comedy|Fantasy|Ecchi|School,7.17,28
818,8900,Saru Getchu: On Air 2nd,Saru Getchu: On Air sequel.,Adventure|Comedy|Fantasy|Romance|Kids|Shounen,6.32,5
820,36418,Koneko no Chi: Ponponra Dairyokou,"The second season of is an original story written by mangaka Kanata Konami with ""travel"" as theme.",Slice of Life,6.41,17
829,34927,Rilu Rilu Fairilu: Mahou no Kagami,Second Season of .,Fantasy|Slice of Life,7.1,4
834,40880,Kiratto Pri☆chan Season 3,Third season of .,Comedy|Slice of Life|Music|Shoujo,7.49,4
835,6604,Kuruneko,Based on a manga about cats and their sake loving owner.,Comedy|Slice of Life,7.25,11
845,24277,Yowamushi Pedal: Grande Road,Second season of the series.,Comedy|Drama|Sports|Shounen,8.05,5
866,4067,Shin Megami Tensei Devil Children,A series based off of the Shin Megami Tensei: Devil Children franchise.,Action|Adventure|Fantasy|Sci-Fi|Supernatural|Demons|Game|Kids,6.51,12
910,39457,Shounen Ashibe: Go! Go! Goma-chan 4,Fourth season of .,Comedy|Slice of Life|Seinen,5.65,4
953,5854,Shin Chou Kyou Ryo: Condor Hero III,Continuation of Legend of the Condor Hero II.,Action|Adventure|Drama|Romance|Historical,7.47,8
959,40957,Shin Chuuka Ichiban! 2nd Season,Sequel of .,Comedy|Gourmet|Shounen,6.65,3
986,16027,Greek Roman Sinhwa: Olympus Guardian,The animated form of the Korean manhwa.,Adventure|Fantasy|Historical,6.46,7
1004,3131,Ashita Tenki ni Naare,The adventures of a young golf player.,Sports|Shounen,6.04,7
1017,35302,Neko Neko Nihonshi 2nd Season,Second season of .,Historical|Parody|Samurai|Kids,6.27,4
1037,4056,Masuda Kousuke Gekijou Gag Manga Biyori 3,Based on Masuda Kosuke's popular gag manga. Famous for its cynicism and sarcasm. Features omnibus styled 5-minute episodes starring various characters; including historical figures.,Comedy,7.2,24
1041,3444,The☆Ultraman,The first animated Ultraman series.,Action|Sci-Fi|Space|Super Power,6.43,5
1064,9200,Dae Jang Geum: Jang Geum's Dream 2,Second season of .,Adventure|Comedy|Gourmet|Historical,7.34,4
1065,37368,Shounen Ashibe: Go! Go! Goma-chan 3,Third season of .,Comedy|Slice of Life|Seinen,5.64,4
1068,20075,Obocchama-kun,"Based on the children's award winning manga by Kobayashi Yoshinori, serializedin Shogakukan's CoroCoro Comic.",Comedy|Parody,6.12,14
1076,4800,Huckleberry Finn Monogatari,Based on Mark Twain's famous book about the adventures of young orphan Huckleberry Finn.,Adventure,6.5,14
1084,34979,Shounen Ashibe: Go! Go! Goma-chan 2,Second season of .,Comedy|Slice of Life|Seinen,5.86,4
1109,5908,Chinpui,TV anime show based on the manga by F. Fujio Fujiko.,Comedy,6.07,11
1114,2717,Ginga Tetsudou Monogatari: Eien e no Bunkiten,Second season.,Action|Adventure|Drama|Sci-Fi|Space,6.82,2
1122,960,Shin Chou Kyou Ryo: Condor Hero II,Continuation of Legend of the Condor Hero.,Adventure|Drama|Romance|Historical,7.34,7
1128,31410,Mini Van 2nd Season,An animated flash series of the manga Mini Vanguard.,Comedy|Slice of Life|Game|Parody,6.3,9
1206,6116,Mainichi Kaasan,Based on Rieko Saibara's humorous semi-autobiographical manga about her life raising her two children.,Comedy|Slice of Life,7.3,14
1218,21851,Tesagure! Bukatsumono Encore,Second season of .,Slice of Life|Parody|School,7.1,4
1239,18845,Ninja Hattori-kun (2012),Remake of the series.,Comedy,6.58,4
1245,45782,D4DJ Petit Mix,Mini anime aired within the D4DJ variety program .,Comedy|Music,6.97,9
1246,43350,Gebäude Bäude,Final chapter of Disney's Fireball series.,Comedy|Sci-Fi,6.09,6
1267,8235,Muumin (1972),A remake of the 1969-70 Moomin series.This version is more closely based on the books by the Finnish illustrator and writer Tove Jansson.,Adventure|Comedy|Fantasy|Slice of Life,6.58,23
1286,30410,Gon 2nd Season,Continuation of the series.,Action|Adventure|Kids,5.77,4
1288,6731,Ultraman Kids no Kotowaza Monogatari,Educational anime based on the popular Ultraman giant fighters.,Comedy|Super Power|Kids,5.72,9
1289,30851,Q Transformers: Saranaru Ninki Mono e no Michi,Second season of .,Slice of Life|Mecha|Parody,5.29,4
1292,10540,Genki!! Ekoda-chan,"Based on a four-panel manga, Rinshi!! Ekoda-chan is about a single woman in Tokyo who drifts through relationships and who works at various hostess clubs and the like.",Comedy,5.2,28
1299,14213,Otogi Manga Calendar,A continuation of .,Historical,5.88,4
1305,15377,Hyakka Ryouran: Samurai Bride,Second season of Hyakka Ryoran: Samurai Girls.,Action|Comedy|Ecchi|Harem|Samurai|School,6.71,7
1315,50599,Yami Shibai 10,Tenth season of,Avant Garde|Horror|Supernatural,6.17,3
1320,10908,Kakko Kawaii Sengen! 2,Second season of Kakko Kawaii Sengen!,Comedy,5.57,6
1326,37611,Future Card Buddyfight Battsu: All-Star Fight,The fifth season of .,Game,6.76,5
1332,8538,Gokujou!! Mecha Mote Iinchou Second Collection,The continuation of Gokujou!! Mecha Mote Iinchou with a new title.Episode numbers continue from 51.,Comedy|Romance|School|Shoujo,6.33,15
1356,22221,Monoshiri Daigaku: Ashita no Calendar,"Another continuation of Instant History with a new title. This time it was sponsored by Kirin, a brewery company in Japan.",Historical,5.63,21
1367,11615,Morita-san wa Mukuchi. 2,The second season of Morita-san wa Mukuchi that directly follows the first.,Comedy|Slice of Life|School,6.66,12
1370,10802,MonHun Nikki Girigiri Airou Mura G,"This sequel will depict the comical adventures of the Airuu (Felyne), a feline monster species in CAPCOM's Monster Hunter game franchise, as they face numerous quests.",Action|Comedy,5.78,26
1374,38804,Kiratto Pri☆chan Season 2,"Second Season of , adding one more idol.",Comedy|Slice of Life|Music|Shoujo,7.54,8
1402,10324,Tono to Issho: Gantai no Yabou,Comedy parodying famous samurai generals and historical events.,Comedy|Historical|Parody|Samurai|Seinen,6.49,8
