,synopsis,true_genres,predicted_genres
47,"The anime centers on Katsuko Yoshida, the cousin of Eagle Talon's Yoshida-kun, and an employee in Kemonomichi Electronics' ""special general affairs"" section. She educates her poorly informed colleagues about their misunderstandings of Sustainable Development Goals, the United Nations-backed goals for member nations to attain a sustainable future.",['Comedy'],"['Comedy', 'Kids', 'Seinen', 'Slice of Life']"
48,"The ""home comedy"" centers on the mischievous boy Rikkun and his eccentric family.","['Comedy', 'Seinen']","['Comedy', 'Kids', 'Seinen', 'Slice of Life']"
49,"St. Muse Academy: the place for the ""sound of the spirits."" In order for people to live pleasantly among the sound, there is an academy where people learn to balance and control sound. Now, the five failing students receive a special mission...","['Comedy', 'Music']","['Fantasy', 'Music']"
50,"Sakamoto Yayoi, a diehard fan of comedians and comedy acts, enrolls in the private Kazuki High School in Nanba (Osaka's entertainment district famous as the starting point for many comedians). She reunites with Takahashi Yomogi, a childhood friend who once formed the comedy duo ""Konamonzu"" with her when they were little. Before long, they find themselves putting together a routine at a park like they did before, in order to enter a local shopping area's contest. At that moment, a mysterious girl calls out to them.","['Comedy', 'School', 'Slice of Life']","['Comedy', 'Seinen', 'Slice of Life']"
51,"October, 1987, Autumn. In Suganami, Tokyo, there lives the Kinoshita family whereby the father draws very little pay out of his job as an ordinary salaryman. In order to cover expenses, he decides to let out the second floor of their apartment to earn additional rental income. One day, an obstinate-looking eldery dog, accompanied by a younger boy-dog, came knocking on their doors. The eldery dog addresses himself as Norayama Kuroyoshi and introduces his grandson as Norakuro. The former wants to open a detective agency and intends to rent the unit for their office. He will be the president of the investigative bureau while Norakuro-kun will be the director. He will also recruit one of the Kinoshita's sons, Keita-kun, as his employee and their advisor will be the girl-next-door, a high school student by the name of Rika Sawaguchi. On the third day since the official opening of the office, the telephone rang, a signal of a new case.","['Comedy', 'Mystery']","['Comedy', 'Drama', 'Mystery', 'Seinen']"
52,"The anime revolves around little creatures called ""Kakusen"" who live in the skin pores of humans. Child actor Yuuto Itou will return as the title character Nyuruo, a newborn Kakusen who was born in the nose. Nyuruo is ignorant of the world around him, but he is honest. His hobby is stamp rallies and his dream is to become a government worker.",['Comedy'],"['Kids', 'Seinen', 'Slice of Life']"
53,"follows high school girls working on DIY projects, as they struggle, fail, yet don't give up and see the projects through to their end. The story depicts the lives of those girls as they take the first step toward the future.","['Comedy', 'Slice of Life']","['Seinen', 'Slice of Life']"
54,"Charo venture around Tono, Iwate, a city in Japan's Tohoku (Northeast) region, attempting to find the Eight-Starred Note in order to prevent the reappearance of the Tenaga-Ashinaga monster of local legend.",['Kids'],"['Comedy', 'Historical', 'Seinen', 'Shounen']"
55,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters.","['Action', 'Adventure', 'Comedy']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen', 'Super Power']"
56,"The story of the original novels revolves around a protagonist who experiences various spiritual encounters due to his upperclassman at his college's club, the ""master teacher"" in the series title that has spiritual sensitivity.","['School', 'Seinen', 'Supernatural']","['Drama', 'Seinen']"
57,"A surrealist comedy about a local neighborhood. The 4-koma it's based on is known for the number of characters added each week, which exceeded over 280 during its serialization. The anime focuses on the 16 most reoccurring of the bunch and each episode is composed of 3 skits/chapters.","['Comedy', 'Seinen']","['Comedy', 'Seinen', 'Shounen', 'Slice of Life']"
58,"A fifth-year elementary student named Eiji Toomatsu, and his ""inspiration"" buddy, a dog named Pochirou. One day Eiji finds a mysterious book called the ""Pikachin Research Book,"" and learns about the seven tools that make up the Pikachin Kit. Eiji presses a button inside the research book, and immediately a ""Future Amazon"" delivery arrives at his door with the kit. Eiji uses the blueprints included in the box to assemble the kit, but it seems as though 1% part of the kit is still missing.  In the franchise, the word ""Pikachin"" means the flash of inspiration or insight one gets about a new project, similar to the visual of a lightbulb turning on above one's head when someone has an idea. The concept of the franchise is ""invention is 99% plastic models, 1% inspiration.""","['Comedy', 'Kids', 'Sci-Fi']","['Comedy', 'Kids']"
59,The 8-year old character Connie-chan from the Japanese children's block (successor to the famous show) gets her own anime now as a 18-year old attending Tokyo University.,['Kids'],"['Comedy', 'Kids', 'Seinen', 'Slice of Life']"
60,"Directly after the events of , the third installment of covers the adventure of Reg, Riko, and Nanachi in the Sixth Layer,","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Super Power']"
61,"The anime will be a ""surreal comedy"" that emphasizes Gunma prefecture's self-sufficiency in ingredients for sukiyaki. The story centers around the titular Sukiyaki Force, created by Professor Warishita, who fight against the forces of Kiraida, who have come to Gunma and threaten to destroy the world.","['Comedy', 'Super Power']","['Action', 'Comedy', 'Seinen', 'Shounen', 'Super Power']"
62,"Attempting to make GG Bond the partner for Iron Fist, Mr. Mihoo disguised himself as a school teacher, showing GG Bond the charm of interstellar shuttling. GG Bond took his invitation and became an agent. As GG Bond’s pet and mission partner, Iron Fist had the power to absorb everything. His biggest secret was that his stomach linked to the infinite fifth dimension. One day Iron Fist ate the stone of eternal energy. The universe would lose balance without the stone. GG Bond had to enter into Iron Fist’s fifth dimension searching for it. After all adventures and difficulties, he finally brought it out and saved the world.","['Kids', 'Sci-Fi', 'Super Power']","['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Seinen', 'Shounen', 'Super Power']"
63,"In the middle of the 19th century, Japan was still closed off from the outside world. There were just the beginning signs of reformation in the long regime of Shogun Tokugawa.  In the remote countryside, on the island of Shikoko, a young boy named Ryoma is growing up in a lower-class Samurai family. A decade later, he is to become on of the leading figures to topple the Shogun's reign and open Japan to the western world.  Our story begins with Ryoma, a dreaming kid of seven years. Ryoma is an honest and tenderd-hearted boy who hates any sort of violence and brutality. He is so sensitive, and a bit naive, that he often cries from pity when he sees even the simples act of violence such as another kid trampling a tiny insect. The kids and even his family call him a ""cry baby"". However, he is not a coward -- not a ""chicken"" at all. His distress comes from a desire to prevent unreasonable acts and the wrong doings in life.  His older sister is the only person who understands his depth. She recognizes that her brother is gifted with a special talent and she does her best to protect him and cheer him up.","['Adventure', 'Drama', 'Historical']","['Drama', 'Historical', 'Seinen']"
64,Kaijuu Sakaba is a real tavern where kaijuu costumes from the Ultraman franchise are on display. Events are held where people can dine with the actors dressed in the kaijuu costumes. In honor of Kaijuu Sakaba's grand re-opening in Kawasaki and opening of a second tavern in Osaka this anime was made to focus on the kaijuu working at a tavern and the tribulations that come with it.,"['Comedy', 'Supernatural']","['Comedy', 'Seinen', 'Shounen']"
65,"For the agent known as ""Twilight,"" no order is too tall if it is for the sake of peace. Operating as Westalis' master spy, Twilight works tirelessly to prevent extremists from sparking a war with neighboring country Ostania. For his latest mission, he must investigate Ostanian politician Donovan Desmond by infiltrating his son's school: the prestigious Eden Academy. Thus, the agent faces the most difficult task of his career: get married, have a child, and play family.  Twilight, or ""Loid Forger,"" quickly adopts the unassuming orphan Anya to play the role of a six-year-old daughter and prospective Eden Academy student. For a wife, he comes across Yor Briar, an absent-minded office worker who needs a pretend partner of her own to impress her friends. However, Loid is not the only one with a hidden nature. Yor moonlights as the lethal assassin ""Thorn Princess."" For her, marrying Loid creates the perfect cover. Meanwhile, Anya is not the ordinary girl she appears to be; she is an esper, the product of secret experiments that allow her to read minds. Although she uncovers their true identities, Anya is thrilled that her new parents are cool secret agents! She would never tell them, of course. That would ruin the fun.  Under the guise of ""The Forgers,"" the spy, the assassin, and the esper must act as a family while carrying out their own agendas. Although these liars and misfits are only playing parts, they soon find that family is about far more than blood relations.","['Action', 'Comedy', 'Shounen']","['Action', 'Drama', 'Super Power']"
66,"Hector the Rat teams up with his fellow denizens of Pretty Wood, including the titular Coral (a young girl) and the unimaginatively named Crow (a crow), to head off to Holland. With many musical scenes, the voice actors were chosen for their singing ability above all considerations.","['Adventure', 'Kids', 'Music']","['Comedy', 'Kids']"
67,A fairytale and folklore parody anime focused on race horses. They take classic stories (like Momotarou or Cinderella) and put them inrace horse situations with the narrator voicing the action in typical fast-paced sports commentary. The anime is funded and promoted by the Japan Racing Association (JRA).,"['Comedy', 'Fantasy', 'Sports']","['Comedy', 'Seinen']"
68,"The bosses of rival car companies decide to fight each other in the sporting arena by backing different race car teams. Chairman Gapporin hires Okkanabichi the supreme racer, while Chairman Misaki hires Riki Kazama, a relatively untried driver for the flying car known as Machine Hiryu. Mixing elements of Speed Racer with Time Bokan, this Tatsunoko production ticks the same boxes, with Riki's cute girlfriend Nana, mini-mechanic Chuta, the cute ape and pooch, and the comic and glamorous villains lurking in the background. Early work from many big names, including Yoshitaka Amano and Kunio Okawara, is strictly in the studio mould. Manga versions of the story ran in several magazines, such as Terebi Magazine and Terebi Land. Racing fever seemed to have struck the Japanese animation business at this time: compare to the same year's Arrow Emblem.","['Comedy', 'Shounen']","['Comedy', 'Seinen', 'Sports']"
69,"First show in the Virtual Trilogy, a mix of anime and live action shots. The story is about the TV Warriors who enter a virtual simulation of the past and encounter Dinosaur-humanity.","['Adventure', 'Fantasy', 'Historical', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']"
70,"A tourism promotional anime for the Akita prefecture. Highlighting Akita cuisine, actors, landmarks, etc. through the banter of two high school friends who are a red oni and an akita (dog breed).",['Comedy'],"['Comedy', 'Seinen', 'Slice of Life']"
71,"A high school loner is given the part-time job of a lifetime as a modern day ninja tasked to perform international assassinations.  After World War II, Allied Command in Japan developed a new agency to help manage terrorism and violence within the Pacific region. The agency was staffed with ninja and they were initially tasked to handle domestic affairs. Eventually that program grew to its current form, managing 20,000 ninja across a range of domestic and international affairs. One of those ninjas happens to be Kudo. The seventeen-year-old high school loser is now poised to be the next line of defense against a potential surge in foreign assassins invading Tokyo.","['Action', 'Comedy', 'Drama', 'Seinen', 'Slice of Life']","['Action', 'Seinen', 'Shounen', 'Super Power']"
72,"An animated adaptation of the mobile game of the same name. Each episode is composed of two stories. The story is set in the future, after the destruction of machine civilization which leaves humans in a more primitive state. Dinosaurs, woolly mammoths, saber-tooth tigers, etc. roam free, as their species were brought back to life and modified to be friendlier thanks to cloning fossil samples during the machine civilization era. Children can become Stone Leaders by having one of these creatures as a ""pet"" which they can do friendly battles with against others.","['Fantasy', 'Kids']","['Adventure', 'Kids']"
73,Someone is out to conquer Lulu forest and it's up to the Nalong and his friends to to figure out who and stop them! When Nalong's girlfriend Ukkya is taken by force and Longman is zapped by a laser beam resulting in an unfavorable transformation--Nalong has more on his plate than he can handle!,"['Adventure', 'Kids']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Super Power']"
74,"is a youth story centering on two female golfers. Two girls, Eve and Aoi, who grew up in completely different circumstances and have different play styles, are caught up in the world of women in golf.",['Sports'],"['Seinen', 'Sports']"
75,"Shorts that aired within ""Fight Tension☆Depart,"" a variety program that originally aired the anime as one of its segments. A blonde Russian woman named Olga gives Russian language hints and comedic cultural tips.","['Comedy', 'Slice of Life']","['Comedy', 'Seinen']"
76,A shadow painting anime about a timid giraffe named Noop and his hedgehog companion named Harry as they travel their distant star world helping each other.,['Adventure'],"['Adventure', 'Fantasy', 'Kids']"
77,"The series stars an elementary school boy named Dameo Marude, who has little success with anything he tries, and a robot named Borot, which is good with housekeeping.","['Comedy', 'Sci-Fi', 'Shounen']","['Comedy', 'Kids', 'Seinen', 'Shounen']"
78,"Rodeo is a normal high school boy who aims to be like GRANRODEO. Gra-P, a self-proclaimed music producer who comes from the future, tries to help him.","['Comedy', 'Music']","['Music', 'Seinen']"
79,The characters are species at risk of extinction who take a journey together to find new friends on other continents. The show is designed to teach children about environmental protection and preservation. The series was developed in 2007 and targeted at the global market.,['Kids'],"['Adventure', 'Kids']"
80,Will G.G. Bond be able to save Fairy World when his enemy is his father? Or is it a trick? G.G. Bond waivers between his alliance with his fellow warriors and his alliance with his long lost family.,"['Kids', 'Sci-Fi', 'Super Power']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen', 'Super Power']"
81,"Nano Invaders follows the eye-popping adventures of Hikaru, 11, who is dragged into a series of battles between two rival alien clans. One day Hikaru tries on a bracelet that belongs to his classmate Mimi and he turns into a monster. Mimi’s family is a special scouting unit from planet Anima. When alien invaders from a rival planet Damon attack the city, Hikaru joins force with Mimi’s family to fight back. The battle gets on the TV, making Hikaru and the aliens instant heroes. Simple-minded Hikaru is happy to see his dream come true, not knowing that Mimi’s family is plotting to take over the earth too!","['Action', 'Adventure', 'Shounen', 'Super Power']","['Adventure', 'Comedy', 'Fantasy']"
