title,synopsis,genres,index
Love All Play,"Ryou Mizushima enrolls in junior high and joins the badminton club with great vigor. Although the club didn't have a proper coach, Mizushima improved his skills with his own physical strength by the time he participated in the prefectural tournament. Afterwards, he is approached by the Yokohama Minato High School's badminton coach, Ebihara.  Indecisive and timid, Mizushima hesitates to attend such a prestigious school. However, with his elder sister Rika giving him a strong push, he decides to go to Yokohama Minato. Now blessed with a coach and idiosyncratic teammates, Mizushima will gain experience he's lacked till now, and aims to win the inter-high tournament.","('Sports',)",51
Gifu no Tatekayoko,"The series revolves around life in Gifu Prefecture in central Japan — as seen through the eyes of Tatekayoko, a female inhabitant who speaks in the dialect of Gifu's Tounou region. The anime will air within the program on Tokyo MX.","('Comedy', 'Kids')",59
Tensei shitara Ken Deshita,"The hero of Tensei shitara Ken deshita differs from your standard otherworldly protagonist in that he is reincarnated as a sword! Beginning his quest by spawning in the middle of a beast-ridden forest, he encounters an injured girl frantically fleeing for her life. Saving her from her assailants, the pair acquaint themselves, and the girl introduces herself as Fran. She bears a heavy past, having endured the enslavement and maltreatment of her tribe, the Black Cats.  As the hero is unable to remember the name from his past life, the young and tenacious Fran bestows him the name ""Shishou"" and becomes his wielder. Thereafter, Shishou and Fran become a formidable team, embarking on quests to liberate the oppressed and exact justice!","('Action', 'Fantasy')",74
Tomodachi no Imouto ga Ore ni dake Uzai,"If a girl teases you, that means she likes you!  Unfortunately, Akiteru knows from experience that isn't the case. Because every girl he interacts with shows him nothing but scorn, and he's not scored a single date from it! Luckily, he's more concerned with securing a spot for him and his game-development buddies at his uncle's business.  But when his uncle throws him a condition that involves playing the part of his daughter's boyfriend, Akiteru has no choice but to take it. What will his best friend's sister Iroha, who bullies him relentlessly, think of the news?","('Comedy', 'Romance', 'School')",75
Xiao Hua Xian,"There is a mysterious power of the Holy Spirit hidden in the legendary continent of Labelle, and the way to get power is recorded in the book of flower, guard by numerous flower Fairy Kings,only the legendary magic ambassador is recognized to wake up the power, and use them to defeat evil. For this.The evil force,led by Jakarta,the Queen of Dark had start a war to the continent of Labelle.With the help of the Flower Goddess,Pupula and the tribe of gouring flower fairys, the fate of the continent of Labelle is linked with an Earth girl... Who is the legendary envoy XiaAnAn.","('Kids',)",76
Chainsaw Man,"Denji has a simple dream—to live a happy and peaceful life, spending time with a girl he likes. This is a far cry from reality, however, as Denji is forced by the yakuza into killing devils in order to pay off his crushing debts. Using his pet devil Pochita as a weapon, he is ready to do anything for a bit of cash.  Unfortunately, he has outlived his usefulness and is murdered by a devil in contract with the yakuza. However, in an unexpected turn of events, Pochita merges with Denji's dead body and grants him the powers of a chainsaw devil. Now able to transform parts of his body into chainsaws, a revived Denji uses his new abilities to quickly and brutally dispatch his enemies. Catching the eye of the official devil hunters who arrive at the scene, he is offered work at the Public Safety Bureau as one of them. Now with the means to face even the toughest of enemies, Denji will stop at nothing to achieve his simple teenage dreams.","('Action', 'Adventure', 'Shounen')",79
Chara to Otamajakushi Shima,"The anime is set on the titular Musical Note Island, where the god of music is said to reside. The island is home to ""instrument animals,"" who are born from music energy, and have parts of their body composed of a musical instrument. One day, a witch arrives at the island. The warrior girl Cara must go on a journey to defeat the witch and win back the peace on the island.","('Adventure', 'Fantasy', 'Kids')",83
Catch! Tiniping,"revolves around mischievous creatures called Teenieping that like to enter people's minds, but their playful nature and magical powers can wreak havoc in their hosts' lives. When the Teenieping are set loose on Earth, Princess Romi of the Emotion Kingdom becomes an ordinary girl that has to turn into a magical girl to stop them, all while balancing her new civilian life as a worker for the Bakery Heartrose with her coworkers Ian, Kyle, and Jun.","('Fantasy', 'Kids', 'School')",84
Capsule Boy 2: Ujuleul Jikyeola,The second season of . SBS took over broadcasting the show. The art style has been changed for a more modern anime-esque appearance and some voice actors did not reprise their character's roles.,"('Kids', 'Sci-Fi')",86
Bocchi the Rock!,"Hitori Gotou is a high school girl who's starting to learn to play the guitar because she dreams of being in a band, but she's so shy that she hasn't made a single friend. However, her dream might come true after she meets Nijika Ijichi, a girl who plays drums and is looking for a new guitarist for her band.","('Comedy', 'Music', 'Slice of Life')",93
Kanashiki Debu Neko-chan,"The anime's story centers on a cat named Maru, adopted by a girl named Anna from a shelter in Matsuyama city. Loved and well fed by the family, Maru gets rounder and fatter every day, spending most of his day sitting by the window and looking at the garden outside. When the family gets a new cat named Cerisier and begins doting on it, Maru gets jealous. In a fight with Cerisier, Maru is hurt by the family's words to him, and follows the advice of another cat to leave and see the world.","('Slice of Life',)",97
Manul no Yuube,"Within the nature ""Darwin Kita! Kikimono Shin Densetsu"" program on NHK1.5 airs the short , based on a web manga/comic of the same name. It following animal characters who visit the bar . The bar is run by the Mama who is a Pallas's cat ( ) and serviced by the hostess Tsunomin who is a Brazilian treehopper ( ).","('Slice of Life',)",106
Kami Kuzu☆Idol,"Yuuya, one half of the boy pop duo ZINGS, may be the laziest performer in the Japanese music industry. His partner is out there giving 110% every night (and, thankfully, he's quite popular), but Yuuya's half-assed, sloppy dancing, and his frankly hostile attitude toward the audience, has the fans hating him and his agent looking for any excuse to cut him loose. The career of a pop idol just isn't the path of easy leisure and adulation Yuuya expected...  After a particularly lifeless concert appearance, Yuuya meets a girl backstage. She's dressed to the nines in a colorful outfit, she's full of vim and vigor, and all she wants from life is to perform. There's just one problem: She's been dead for a year. This is the ghost of Asahi Mogami, the beloved singer whose time on the stage was tragically cut short, unless... If ghosts are real, is spirit possession really that much of a stretch?","('Comedy', 'Music', 'Supernatural')",107
The Snack World (TV),"In ""a certain era"" on ""a certain continent,"" banal things are happening. The construction of ""Large-Scale Leisure Facilities"" has demanded that all the villages are to be evicted. When these demands are denied, the village and its residents are obliterated. A boy named Chap once lived in tranquility, but that happiness soon came crumbling down. He decides to embark on a journey of revenge, but soon falls madly in love with the king's daughter, Princess Melora. In order to fulfill her selfish wishes, he gathers his friends in order to overcome the impossible.","('Adventure', 'Comedy', 'Fantasy', 'Kids')",115
Awajishima no Shichifukujin,"The story centers on the Seven Gods of Fortune in Japanese mythology as they reside on Awaji Island in Hyogo. In the shorts' story, the Seven Gods of Fortune slack in their duties in heaven, and Susanoo-no-Mikoto banishes them to Awaji Island. In order to return to the heavenly realm, they must help bring happiness to humans and rebuild their virtue. The outcast gods reluctantly grant human wishes and accumulate points in their ""god phones"" to be able to return to heaven. They aim to perform good deeds on particularly auspicious days to maximize point accumulation. Despite their best efforts at accumulating virtue, sometimes the Seven Gods of Fortune end up bringing misfortune to humans. When they fail, they lose points, further prolonging their stay on Awaji Island.","('Comedy', 'Kids', 'Supernatural')",116
Otoppe,"The series follows a young girl named Shina who hopes to become the world's best DJ, and is interested in new sounds. Shina explores a mysterious world filled with Otoppe, strange creatures capable of unique sounds.","('Fantasy', 'Kids', 'Music')",119
Nyanfuru,"Shorts that feature music note cats. The series premiered on February 22, 2014 on television; the first episode was published on an official YouTube channel that same day.  The whole world is in love with character illustrations of cats, dogs, and bears. A brand-new show, and the first of its kind in Japan, featuring nothing but cat characters for cat lovers started airing in February 2014. A variety of cat characters designed by Japan's topnotch creators and illustrators are animated and they are voiced by popular KAWAII (cute) anime voice actors. This show is a must-see not just for the fans of cat characters but for all anime lovers!","('Comedy', 'Music')",121
Kirakira Shougakusei Celeb-chan,"Shorts that aired within ""Fight Tension☆Depart,"" a variety program that originally aired the anime as one of its segments. Celeb-chan is a narcissistic school girl who believes that she is a celebrity because her family is incredibly wealthy. She tries to do typical rich people things such as starting her own heavy makeup line, becoming a singer, saving an endangered species, buying a teacup poodle, etc. The results are never how she expects it.","('Comedy',)",128
Tomodachi Game,"Yuuichi Katagiri has battled financial hardships his whole life but has learned to stay content and positive thanks to his close circle of friends. To keep a promise he made to them, Yuuichi saves up enough money to join them on the school trip. But when the gathered money mysteriously goes missing, suspicion falls on two of Yuuichi's friends: Shiho Sawaragi and Makoto Shibe, who were in charge of collecting the payments. Although innocent, Shiho and Makoto take responsibility for the failure to protect the money when no one else comes forward.  A few days later, Yuuichi and his friends receive mysterious letters which trick each of them into meeting up. Upon arrival, they are ambushed and knocked unconscious. They wake up in a mysterious room in the presence of ""Manabu-kun,"" a character from a controversial children's show that stopped airing due to its malicious content. He informs the group that one of them indirectly gathered them together in order to settle a large debt. They are to play a ""friendship game"": a series of games that will test the strength of their bond and trust in each other. As the group's faith wavers due to the growing number of secrets and betrayals, Yuuichi must figure out who of his ""friends"" he can actually trust and ultimately discover the identity of the traitor.","('Shounen',)",134
Skip to Loafer,"Excellent student Iwakura Mitsumi has always dreamt about leaving her small town, going to a prestigious university, and making positive change in the world. But she's so focused on reaching her goals that she's not prepared for the very different (and overwhelming) city life that awaits her in a Tokyo high school. Luckily, she makes fast friends with Shima Sousuke, a handsome classmate who's as laid-back as she is over-prepared. Can this naive country girl make it big in Tokyo with Sousuke by her side?","('School', 'Seinen', 'Slice of Life')",137
Healer Girl,"The story will follow four girls who seek to use their songs to heal and soothe the people of their world. The tagline reads, ""Kindhearted, powerful songs heal the world. These are beautiful miracles sung by humanity.""","('Music',)",139
Chimimo,"The ""heart-warming comedy"" anime centers on Chimimo, who is a messenger of hell and a shape-shifting evil demon. Chimimo is one of 12 evil demons whose mission is to turn the human world into hell. The 12 demons along with ""Hell-san"" go to the human world, but Hell-san and Chimimo become freeloaders to a family of three sisters named Mutsumi, Hazuki, and Mei.","('Comedy',)",144
Xingji Biaoche Wang,"Set in the future on the Yellow River Planet, the realm of car racing has advanced beyond Formula One-into the domain of the Galaxy Racers. Riders steer their simulator-racers which remotely control the actual customized speedsters hurtling around a track.  The hero, a teenager named Roy, was born to race and aspires to be the King of Galaxy Racers. But his guardian, his grandfather, sees a threat from and great danger in the evil and greedy Taz, the CEO of the Titan Space Navigation Auto Group which seeks to swallow or destroy all competitors, and whose Mosha Racing Team would just as ruthlessly run over and crush Roy under its thundering wheels. He arranges for him to join the good guys in the Matela Racing Team to race for the highest honors.  Many years ago, Ray’s father, Dr Renault, worked for the Titan Group and he invented the Galaxy Racers but he was against CEO Taz’s destructive greed. He tries to escape-and disappears! Monopolizing the technology and construction of the Racers, Taz, the Titan Group and Mosha Racing Team swallowed, crushed and beat all rival companies, racers and teams.  Desperately, Ray’s grandfather uses a secret design hidden by Dr Renault from Taz and builds for him a superior racer, The Lion King. But he has first to learn the skills and garner experience from racing at the highest levels. To acquire these qualities plus humility and resilience, he relies on his Matela friends who have their own cool cars, to help him. But arrayed against them are the Mosha baddies and their menacing machines.  In a series of hair-raising and nail-biting races with thrills & spills, growling engines, screeching wheels, burning rubber, smashing metal against metal, intense bitter rivalry, persevering friendships & loyalties forged in grueling teamwork and battle, Ray and Team Matela must conquer their fears and overcome the arrogant and powerful Team Mosha which uses cheating as a winning strategy.  Will justice prevail or evil triumph? Find out on The Galaxy Racers on a track near you!","('Action', 'Adventure')",150
Sakuran Boy DT,"The Geisha Tokyo Entertainment company has announced on Wednesday it is producing and airing Sakuran Boy DT, ""Japan's first"" Flash-animated television series about a local costumed hero character. The name of the character is a wordplay on the Japanese translation for ""cherry boy"" — the Japanese slang for a male virgin — and the Sakuranbo television station in the northeastern Japanese city of Yamagata. The story revolves around Satou-kun, an ordinary high school boy who transforms into Sakuran Boy DT to rescue the mayor's daughter from the nefarious secret society Zaou. Sakuranbo has posted a trailer online, and the 11 five-minute weekly episodes will premiere on this station on January 14.","('Comedy', 'Super Power')",151
Kamiwaza Wanda,"The story is set in a world where every event has been turned into programs, and mysterious monsters known as ""Promin"" maintain the world. However, many Promin who have turned into bugs known as ""Bugmin"" are responsible for many of the world's real-life bugs. Left alone, they may eventually turn into a big problem. The boy Yuuto encounters the space dog Wanda, and the pair use a camera-like device and key items to capture Bugmin. Promin themselves are able to do things like ""accelerate objects,"" ""spew fire,"" or ""create objects,"" through an ability known as ""Kamiwaza"" (miracle), and are able to fend off Bugmin with it. At first, the Bugmin only cause small, bothersome things, but it will soon elevate into a global scale threat. Can one boy and one dog save the world?","('Kids', 'Sci-Fi')",155
Neko to Mata,"The series centers around two cats: a younger sister named Neko, and an older brother named Mata. Neko is a nekomata (a mythical two-tailed cat), innocently selfish, and spoiled by her brother. Mata is a neighborhood cat with an eartipped mark as a sign of being neutered. They meet under a streetlight in the city at night to talk.","('Supernatural',)",157
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu","One day, a gamer played video games until he fell asleep...and when he woke up, he found himself in the game world—as a skeleton! Equipped with the powerful weapons and armor of his avatar but stuck with its frightening skeletal appearance, Arc has to find a place for himself in this new, fantastical land. All his hopes for a quiet life are dashed when he crosses paths with a beautiful elven warrior, setting him on a journey full of conflict and adventure.","('Action', 'Fantasy')",159
Soredemo Ayumu wa Yosetekuru,"On a whim, first-year Ayumu Tanaka quits the Kendo Club to join the illegitimate Shogi Club. Urushi Yaotome, the president of the club and a master of shogi, is thrilled to finally have a playing partner. As Ayumu's upperclassman, Urushi endeavors to be his shogi mentor and student role model. Too often, however, she finds herself blushing with embarrassment! Stone-faced and honest, Ayumu sees no issue with calling Urushi ""cute."" Although Ayumu likes her, he refrains from confessing and promises himself to first beat her in a game of shogi.  Through school life and shogi games, the two students have many hilarious and heart-warming adventures. Ayumu enjoys every second with Urushi, but he is still a long way from beating her in shogi. With the commitment he made to himself, will Ayumu ever get the chance to confess his feelings to Urushi?","('Comedy', 'Romance', 'School', 'Shounen', 'Slice of Life')",164
Okashi na Sabaku no Suna to Manu,"The story centers on the everyday life of the cats Suna and Manu, who live in a desert — a desert made of sugar instead of sand.","('Comedy',)",167
Mahoutsukai ni Narenakatta Onnanoko no Hanashi.,"Kurumi Mirai is in the first year of high school.  She has enrolled in junior high section of the Redrun Magic School, the world's only facility for mages that approved by International Mage League and able to work under royal families when graduates, and she was always top of the class. However, when she applies for the high school section and took the examination to get into a mage training class ""Ma-gumi (Mage Class)"", she wasn't able to get in in spite having full scores and was top of the class for the whole three years.  There are some students in the class next to her that takes that class. Among that there's someone she admires. How will Kurumi Mirai who has extraordinary brain but didn't get in to be a mage candidate try to overcome and grow up? What is the aim for Minami Suzuki, a loyal mage who suddenly appears to be the homeroom teacher? This is a relaxing story of her growth.","('Drama', 'Fantasy', 'School', 'Slice of Life')",169
Xiong Chumo: Chunri Dui Dui Peng,"Fourth season of .  Now that spring is in the air, the forest animals are back to frolicking amongst the freshly blooming flowers and busy at work planting new trees to add even more color to their luscious home. The bear brothers—Briar and Bramble, and all their friends are having a jolly great time basking in this colorful season; however, from time to time, they stumble across Logger Vick who will not give up. The bears, along with their little friends make it their mission to protect the forest. This always results in a lot of laughter, tears and of course, adventures aplenty!","('Adventure', 'Comedy', 'Kids')",174
Pittanko! Nekozakana,"On a distant southern island, a fish (sakana) opened its mouth for a cat (neko), thus ""nekozakana"" (cat-fish) is born.","('Comedy', 'Kids')",175
Möbius Dust,"On February 29, 2000, the Möbius meteorites fell on Earth. These meteorites brought a new form of matter known as Möbius Dust to Earth. The dust permeated Earth's atmosphere, leading to a miracle. The day the meteorites fell, nicknamed ""2.29,"" accelerated the economic disparity in Japan.  Before long, the Bloody War Alliance, discontent with this disparity, began committing acts of terrorism. Amidst all this, the police established the anti-RC special mobile unit and a joint anti-RC training school for the initial training of the unit members.","('Action', 'Kids')",176
Kyoufu! Zombie Neko,"The series of ""warm and soothing"" anime shorts will follow a cat who is suddenly resurrected from the grave and begins to wander around town. Despite being a zombie, the cat is able to get all the townsfolk to fall in love with it.","('Comedy',)",184
Kakuza Tousan,A stop-motion comedy drama about sugar cube people from the Meiji era. Specifically it focuses on the father Kakuza who easily succumbs to emotion usually about his 37 year old daughter Touko's newest fiancé who tries to ask for his blessing. He's scared of losing his daughter even though it was his late wife's dying wish to see her as a happy bride.  The show had a very irregular release schedule and by the end of its serialization its title had changed to .,"('Comedy', 'Drama', 'Historical')",185
Curry no Kuni no Coburoux,"Coburoux is a prince of Curry Kingdom. Although he is a prince, he goes to the school for common people, and he is treated like other students. In fact, he is scolded by the teacher, is made to stand during class as a punishment, go some errands for a chef, and is teased by a girl whom he loves. He is always worried, and wonders whether the prince should be better. Being surrounded by weird friends and strange people in Curry Kingdom, he spends worrying days.","('Comedy',)",187
"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita","Yuuji Sano, a black company employee, is summoned to another world while finishing his work at home. His profession in the other world, a Monster Tamer, is considered a job that makes it difficult to become an adventurer. However, thanks to some slimes he met, which read several magical books, he gained magical powers and a second profession, Sage.  Yuuji acquired overwhelming power, but is he conscious of his strength? Blindly becoming unparalleled and strongest in the world!","('Action', 'Adventure', 'Fantasy')",191
Taeko no Nichijou,"A short anime about Taeko Shinbou who is an office worker that is patient with everything and greets everything that comes her way with cheer. An announcement was made that a ""regular person"" from Kantou will voice Taeko rather than an industry professional.","('Slice of Life',)",197
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,"Hiyori Suzumi, who left her hometown to continue pursuing her passion of track and field, enrolls in Tokyo's Sakuragaoka High School. In searching for a part-time job, Hiyori ends up becoming an apprentice manager for her classmates Yuujirou Someya and Aizou Shibasaki, who are members of the idol group LIPxLIP. The story follows the struggles that Hiyori faces with school, extracurricular activities, and her managing job, as well as the idol group LIPxLIP as they perform on stage.","('School',)",200
Kemy Lang Buka Chaka,"This anime is a fusion of 3D CGI and live-action. Majority of the episodes are Kemy, Buka, and Chaka in their animated club house but other parts of the episodes are the characters imposed on live footage of nature. The program solves various questions by looking at the world with the vision of infants who are still immature in the world.","('Adventure', 'Kids')",210
Hanasaka Tenshi Tenten-kun,A foolish clumsy angel came to the human world to help a very unlucky boy. But more accidents are then created...,"('Comedy', 'Fantasy')",216
Shachiku-san wa Youjo Yuurei ni Iyasaretai.,"A little ghost girl gets worries when Ms. Fushihara, a corporate slave, is working till midnight, and tries to make her go home. While saying ""Leave now~,"" the ghost girl helps and brings her refreshments, healing Ms. Fushihara's heart with her preciousness. Be healed by the heartwarming daily life of the cute little ghost and the corporate slave Ms. Fushihara.","('Comedy', 'Shounen', 'Slice of Life', 'Supernatural')",218
Rescue Academia,"The story will be set in the city of Minamisouma in Fukushima prefecture, and will center around a down-and-out protagonist who gets to know a robot while working rescue efforts. It will depict the friendship and growth of a group of children alongside the robot. Local traditional crafts such as Ouborisoumayaki pottery will appear in the story. Fukushima Gainax is producing the anime to promote Fukushima's ""Innovation Coast"" initiative that aims to revive industry and tourism in the region after the 2011 earthquake and tsunami.    Set to air in 2021.","('Adventure', 'Sci-Fi')",224
Monkateu,"Carmon Kingdom is a medieval style fantasy world where humans and monsters live together. Monkart Race is the most popular sport in the kingdom, as the highest ranker can be selected as knight. 12 year-old Jin of Latona Village also dreams to be the winner someday. One day, Destro, commander of the knights, invades the kingdom and tries to marry princess Sena. The princess escapes and comes across Jin. Their encounter awakes a dragon monster named Draka, who has been sealed in Jin’s sword. Now Jin, Sena, and their monsters start the most exciting adventures to save the kingdom.  Source: SAMG Animation","('Action', 'Adventure', 'Fantasy', 'Kids')",226
Jungle Kurobee,"Urobe was a son of the great chief of Pyrimi, Africa. One day he hung on an airplane and came to Japan. Because of the cold and hunger, he fell on to the yard of Shishio’s house, and Shishio nursed him. Kurobe was very thankful for him and began to repay for his kindness. Kurobe dug a big hole in the yard.Every time he returns the favor, he threw a stone into the hole until stones would fill the hole.","('Comedy',)",230
Jim Button,Jim Button and his best friend Luke live on an island. When Luke has to leave the island Jim decides to go with him. when they leave they don't have a clue about the hidden dangers in the world. while traveling they learn that a young princess name Lisi was captured by pirates whom brought her to Sorrowland. The evil and dangerous dragon miss. Grindtooth rules in that land. Jim and Luke decide to go to Sorrowland to save princess Lisi.,"('Adventure', 'Fantasy', 'Kids')",241
KutsuDaru.,"In a Tokyo suburb small town, there lives a girl named Nekota Kaoru. Being born into a normal family, being raised in a normal way, this spring she'll become a normal happy middle-schooler.  However, since young age, Nekota had an abnormal ability to see Imadoki youkai (Modern Monster). And she has kept it a secret from others...","('Fantasy', 'Kids', 'School', 'Slice of Life')",244
Freaky Highschool,A cutesy horror anime. Everyone in town is monster but they're living their lives like normal while attending high school.,"('School',)",248
Norasco (TV),musicる TV signed up Norasco for their channel. Some of the ONA's episodes were shown and then the episodes became mostly musicる TV exclusive.,"('Comedy', 'Slice of Life')",250
Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,"Al Wayne, a young man who aims to be a top-notch farmer, has refined his farming skills and finally reached the MAX level. However, once he achieved the pinnacle of farming skills, for some reason his life began to take a drastic direction.","('Action', 'Adventure', 'Fantasy')",256
Youkaiden Nekome Kozou,"The story is told by the cat-eyed boy, hated by humans and demons, who engages in tales of terror, including monsters and children.","('Adventure', 'Seinen', 'Supernatural')",259
Fuuto Tantei,"In the city of Fuuto, criminals make use of USB-like devices called ""Gaia Memories"" to turn themselves into superpowered monsters known as ""Dopants,"" wreaking havoc in the otherwise peaceful city. However, there are also heroes who utilize the Gaia Memories to fight these criminals, one of whom is the self-proclaimed, hard-boiled detective Shoutarou Hidari. With the help of his witty partner Philip, the two transform into Kamen Rider W—the legendary hero of Fuuto city.  After the fall of Museum—the evil organisation responsible for many crimes in Fuuto—the production and distribution of Gaia Memories has halted. However, remnants of Gaia Memories still remain within society and are sold in the black market at high prices. Thus, the two heroes from Narumi Detective Agency are yet to have time to relax. Sights of Dopants still occur and the agency receives more and more clients who claim to experience supernatural phenomena.  Regardless of the arduous nature of the task, Kamen Rider W promises that those who hurt Fuuto will inevitably count up their sins.","('Action', 'Drama', 'Mystery', 'Seinen', 'Supernatural')",261
Petit Petit Muse,"Two twins, Ara and Ari, aspire into the world of fashion. Ara wants to become a fashion model, while her sister, Ari, wants to become a fashion designer. They meet a man named Yorang, who is the fashion designer in Heaven.","('Kids',)",264
PJ Berri no Mogumogu Munyamunya,Fuji TV announced that it will air a new series of anime shorts based on the Parappa the Rapper video game franchise. The new anime will center on the P.J. Berri character. Each episode is about 96 seconds long.  The anime celebrates both the 20th anniversary of the game and the 15th anniversary of the anime series.,"('Comedy',)",269
Nameko: Sekai no Tomodachi,Nameko Forest gathers nameko from all over the world. They form the Nameko Universal Ranger (NUR) to convey the charm of the forest. It's an everyday life of inviting new nameko with unique personalities to the forests. What incident will happen today?,"('Comedy', 'Kids')",270
